text,sentiment
This app is brilliant and easy to use.,positive
The service was awful and extremely slow.,negative
The service was awful and extremely slow.,negative
Terrible customer support and rude staff.,negative
I am extremely happy with this purchase.,positive
Outstanding customer support and performance.,positive
Completely useless and frustrating to use.,negative
Wonderful experience from start to finish.,positive
Completely useless and frustrating to use.,negative
This app crashes all the time.,negative
Delivery was on time and packaging was fine.,neutral
Delivery was on time and packaging was fine.,neutral
Amazing quality and very fast delivery.,positive
It does the job but nothing more.,neutral
Outstanding customer support and performance.,positive
The product stopped working after one day.,negative
"Neither good nor bad, just normal.",neutral
The quality is standard for this price.,neutral
Terrible customer support and rude staff.,negative
This app is brilliant and easy to use.,positive
Best decision I have made this year.,positive
I am extremely happy with this purchase.,positive
The service was excellent and exceeded expectations.,positive
Outstanding customer support and performance.,positive
"Neither good nor bad, just normal.",neutral
This app is brilliant and easy to use.,positive
Poor quality and not worth the money.,negative
It does the job but nothing more.,neutral
The service was awful and extremely slow.,negative
Completely useless and frustrating to use.,negative
The app works fine for basic tasks.,neutral
"Very bad experience, I want a refund.",negative
The experience was fairly ordinary.,neutral
It meets the basic requirements.,neutral
"Average experience, nothing special.",neutral
"Very bad experience, I want a refund.",negative
It meets the basic requirements.,neutral
I am extremely happy with this purchase.,positive
Terrible customer support and rude staff.,negative
The product is okay and works as expected.,neutral
The product stopped working after one day.,negative
"Worst experience ever, very disappointing.",negative
I regret buying this item completely.,negative
The product is okay and works as expected.,neutral
The design and quality are truly impressive.,positive
"I absolutely love this product, it works perfectly.",positive
This app is brilliant and easy to use.,positive
"Worst experience ever, very disappointing.",negative
The experience was fairly ordinary.,neutral
The app works fine for basic tasks.,neutral
"Worst experience ever, very disappointing.",negative
Wonderful experience from start to finish.,positive
"Fantastic experience, highly recommended.",positive
Best decision I have made this year.,positive
Completely useless and frustrating to use.,negative
"Neither good nor bad, just normal.",neutral
"I absolutely love this product, it works perfectly.",positive
Wonderful experience from start to finish.,positive
The product is okay and works as expected.,neutral
Poor quality and not worth the money.,negative
It does the job but nothing more.,neutral
Wonderful experience from start to finish.,positive
"I hate this product, it is terrible.",negative
"Fantastic experience, highly recommended.",positive
"Fantastic experience, highly recommended.",positive
"Fantastic experience, highly recommended.",positive
This app is brilliant and easy to use.,positive
The service was awful and extremely slow.,negative
It does the job but nothing more.,neutral
"Average experience, nothing special.",neutral
The design and quality are truly impressive.,positive
I regret buying this item completely.,negative
Best decision I have made this year.,positive
The service was awful and extremely slow.,negative
"Neither good nor bad, just normal.",neutral
The product stopped working after one day.,negative
"Neither good nor bad, just normal.",neutral
The service was excellent and exceeded expectations.,positive
The service was acceptable overall.,neutral
The service was awful and extremely slow.,negative
This app crashes all the time.,negative
Best decision I have made this year.,positive
The product stopped working after one day.,negative
"Average experience, nothing special.",neutral
"Very bad experience, I want a refund.",negative
It meets the basic requirements.,neutral
"Worst experience ever, very disappointing.",negative
The experience was fairly ordinary.,neutral
I am extremely happy with this purchase.,positive
Completely useless and frustrating to use.,negative
Wonderful experience from start to finish.,positive
"Very bad experience, I want a refund.",negative
The service was awful and extremely slow.,negative
Terrible customer support and rude staff.,negative
"I hate this product, it is terrible.",negative
"Worst experience ever, very disappointing.",negative
Amazing quality and very fast delivery.,positive
"Very bad experience, I want a refund.",negative
"Average experience, nothing special.",neutral
The product is okay and works as expected.,neutral
The service was acceptable overall.,neutral
Terrible customer support and rude staff.,negative
Completely useless and frustrating to use.,negative
"I hate this product, it is terrible.",negative
"Fantastic experience, highly recommended.",positive
Wonderful experience from start to finish.,positive
The product stopped working after one day.,negative
It does the job but nothing more.,neutral
It does the job but nothing more.,neutral
Delivery was on time and packaging was fine.,neutral
"Very bad experience, I want a refund.",negative
Completely useless and frustrating to use.,negative
Delivery was on time and packaging was fine.,neutral
Wonderful experience from start to finish.,positive
Outstanding customer support and performance.,positive
This app crashes all the time.,negative
"Fantastic experience, highly recommended.",positive
I am extremely happy with this purchase.,positive
Wonderful experience from start to finish.,positive
I regret buying this item completely.,negative
"Worst experience ever, very disappointing.",negative
The app works fine for basic tasks.,neutral
Terrible customer support and rude staff.,negative
This app is brilliant and easy to use.,positive
Outstanding customer support and performance.,positive
Outstanding customer support and performance.,positive
The app works fine for basic tasks.,neutral
Best decision I have made this year.,positive
The product is okay and works as expected.,neutral
This app is brilliant and easy to use.,positive
It does the job but nothing more.,neutral
I regret buying this item completely.,negative
The service was acceptable overall.,neutral
The experience was fairly ordinary.,neutral
"Neither good nor bad, just normal.",neutral
It does the job but nothing more.,neutral
"I absolutely love this product, it works perfectly.",positive
"Average experience, nothing special.",neutral
I regret buying this item completely.,negative
The product stopped working after one day.,negative
"Average experience, nothing special.",neutral
Poor quality and not worth the money.,negative
It does the job but nothing more.,neutral
This app is brilliant and easy to use.,positive
"Neither good nor bad, just normal.",neutral
Delivery was on time and packaging was fine.,neutral
This app is brilliant and easy to use.,positive
"Average experience, nothing special.",neutral
This app crashes all the time.,negative
The product stopped working after one day.,negative
It meets the basic requirements.,neutral
"Fantastic experience, highly recommended.",positive
Best decision I have made this year.,positive
"Neither good nor bad, just normal.",neutral
The product is okay and works as expected.,neutral
The product is okay and works as expected.,neutral
The service was acceptable overall.,neutral
Terrible customer support and rude staff.,negative
I am extremely happy with this purchase.,positive
It does the job but nothing more.,neutral
"I hate this product, it is terrible.",negative
The product stopped working after one day.,negative
This app crashes all the time.,negative
The quality is standard for this price.,neutral
I am extremely happy with this purchase.,positive
I regret buying this item completely.,negative
"Average experience, nothing special.",neutral
"Worst experience ever, very disappointing.",negative
I regret buying this item completely.,negative
The service was acceptable overall.,neutral
It meets the basic requirements.,neutral
The experience was fairly ordinary.,neutral
Completely useless and frustrating to use.,negative
Completely useless and frustrating to use.,negative
The product is okay and works as expected.,neutral
"I hate this product, it is terrible.",negative
Wonderful experience from start to finish.,positive
I am extremely happy with this purchase.,positive
This app is brilliant and easy to use.,positive
"Neither good nor bad, just normal.",neutral
This app crashes all the time.,negative
The product is okay and works as expected.,neutral
The quality is standard for this price.,neutral
"I absolutely love this product, it works perfectly.",positive
The product stopped working after one day.,negative
Best decision I have made this year.,positive
I am extremely happy with this purchase.,positive
I regret buying this item completely.,negative
Terrible customer support and rude staff.,negative
The app works fine for basic tasks.,neutral
The app works fine for basic tasks.,neutral
Poor quality and not worth the money.,negative
"Fantastic experience, highly recommended.",positive
I am extremely happy with this purchase.,positive
The service was awful and extremely slow.,negative
Wonderful experience from start to finish.,positive
"Worst experience ever, very disappointing.",negative
I am extremely happy with this purchase.,positive
"Very bad experience, I want a refund.",negative
The experience was fairly ordinary.,neutral
Terrible customer support and rude staff.,negative
It does the job but nothing more.,neutral
Best decision I have made this year.,positive
Terrible customer support and rude staff.,negative
"Fantastic experience, highly recommended.",positive
Poor quality and not worth the money.,negative
The app works fine for basic tasks.,neutral
The app works fine for basic tasks.,neutral
Wonderful experience from start to finish.,positive
The service was acceptable overall.,neutral
The app works fine for basic tasks.,neutral
The quality is standard for this price.,neutral
Best decision I have made this year.,positive
The product is okay and works as expected.,neutral
"Fantastic experience, highly recommended.",positive
"Average experience, nothing special.",neutral
This app crashes all the time.,negative
Terrible customer support and rude staff.,negative
"I hate this product, it is terrible.",negative
"Neither good nor bad, just normal.",neutral
The product is okay and works as expected.,neutral
"Neither good nor bad, just normal.",neutral
"Neither good nor bad, just normal.",neutral
The experience was fairly ordinary.,neutral
It does the job but nothing more.,neutral
"Very bad experience, I want a refund.",negative
Outstanding customer support and performance.,positive
This app crashes all the time.,negative
The experience was fairly ordinary.,neutral
The product stopped working after one day.,negative
The experience was fairly ordinary.,neutral
"Very bad experience, I want a refund.",negative
Best decision I have made this year.,positive
Outstanding customer support and performance.,positive
Best decision I have made this year.,positive
"Very bad experience, I want a refund.",negative
"I hate this product, it is terrible.",negative
Wonderful experience from start to finish.,positive
I regret buying this item completely.,negative
The experience was fairly ordinary.,neutral
It meets the basic requirements.,neutral
"Neither good nor bad, just normal.",neutral
"Worst experience ever, very disappointing.",negative
The design and quality are truly impressive.,positive
The experience was fairly ordinary.,neutral
Poor quality and not worth the money.,negative
The app works fine for basic tasks.,neutral
"Fantastic experience, highly recommended.",positive
Terrible customer support and rude staff.,negative
Wonderful experience from start to finish.,positive
The app works fine for basic tasks.,neutral
"Average experience, nothing special.",neutral
Completely useless and frustrating to use.,negative
Completely useless and frustrating to use.,negative
This app crashes all the time.,negative
"I absolutely love this product, it works perfectly.",positive
The quality is standard for this price.,neutral
Terrible customer support and rude staff.,negative
"Neither good nor bad, just normal.",neutral
Best decision I have made this year.,positive
This app crashes all the time.,negative
I regret buying this item completely.,negative
Wonderful experience from start to finish.,positive
Wonderful experience from start to finish.,positive
It does the job but nothing more.,neutral
I regret buying this item completely.,negative
Poor quality and not worth the money.,negative
"Fantastic experience, highly recommended.",positive
"Worst experience ever, very disappointing.",negative
The design and quality are truly impressive.,positive
"Neither good nor bad, just normal.",neutral
"Average experience, nothing special.",neutral
"I absolutely love this product, it works perfectly.",positive
The product stopped working after one day.,negative
This app is brilliant and easy to use.,positive
"I hate this product, it is terrible.",negative
"Average experience, nothing special.",neutral
Outstanding customer support and performance.,positive
I regret buying this item completely.,negative
The service was awful and extremely slow.,negative
Best decision I have made this year.,positive
Amazing quality and very fast delivery.,positive
"Neither good nor bad, just normal.",neutral
This app is brilliant and easy to use.,positive
I regret buying this item completely.,negative
Outstanding customer support and performance.,positive
This app is brilliant and easy to use.,positive
Terrible customer support and rude staff.,negative
Wonderful experience from start to finish.,positive
"I hate this product, it is terrible.",negative
Terrible customer support and rude staff.,negative
"Average experience, nothing special.",neutral
I regret buying this item completely.,negative
This app crashes all the time.,negative
The service was awful and extremely slow.,negative
Outstanding customer support and performance.,positive
The service was excellent and exceeded expectations.,positive
Poor quality and not worth the money.,negative
The app works fine for basic tasks.,neutral
Poor quality and not worth the money.,negative
"Worst experience ever, very disappointing.",negative
The service was awful and extremely slow.,negative
"I hate this product, it is terrible.",negative
I am extremely happy with this purchase.,positive
The app works fine for basic tasks.,neutral
Best decision I have made this year.,positive
Wonderful experience from start to finish.,positive
"I absolutely love this product, it works perfectly.",positive
Poor quality and not worth the money.,negative
It meets the basic requirements.,neutral
Amazing quality and very fast delivery.,positive
Amazing quality and very fast delivery.,positive
Amazing quality and very fast delivery.,positive
"Very bad experience, I want a refund.",negative
The experience was fairly ordinary.,neutral
I am extremely happy with this purchase.,positive
Outstanding customer support and performance.,positive
"Average experience, nothing special.",neutral
Terrible customer support and rude staff.,negative
"Worst experience ever, very disappointing.",negative
Delivery was on time and packaging was fine.,neutral
The experience was fairly ordinary.,neutral
The design and quality are truly impressive.,positive
Best decision I have made this year.,positive
"I absolutely love this product, it works perfectly.",positive
The service was acceptable overall.,neutral
Amazing quality and very fast delivery.,positive
The service was excellent and exceeded expectations.,positive
I regret buying this item completely.,negative
Terrible customer support and rude staff.,negative
"Worst experience ever, very disappointing.",negative
"Neither good nor bad, just normal.",neutral
I am extremely happy with this purchase.,positive
The experience was fairly ordinary.,neutral
The service was excellent and exceeded expectations.,positive
"Fantastic experience, highly recommended.",positive
This app crashes all the time.,negative
Delivery was on time and packaging was fine.,neutral
Completely useless and frustrating to use.,negative
The app works fine for basic tasks.,neutral
The quality is standard for this price.,neutral
The product is okay and works as expected.,neutral
"Very bad experience, I want a refund.",negative
The product stopped working after one day.,negative
"I hate this product, it is terrible.",negative
The product stopped working after one day.,negative
The app works fine for basic tasks.,neutral
This app is brilliant and easy to use.,positive
Wonderful experience from start to finish.,positive
Poor quality and not worth the money.,negative
"Neither good nor bad, just normal.",neutral
"Average experience, nothing special.",neutral
"Neither good nor bad, just normal.",neutral
"Average experience, nothing special.",neutral
"I absolutely love this product, it works perfectly.",positive
The product stopped working after one day.,negative
Best decision I have made this year.,positive
Completely useless and frustrating to use.,negative
The design and quality are truly impressive.,positive
This app is brilliant and easy to use.,positive
It does the job but nothing more.,neutral
The service was awful and extremely slow.,negative
Amazing quality and very fast delivery.,positive
Completely useless and frustrating to use.,negative
The experience was fairly ordinary.,neutral
The design and quality are truly impressive.,positive
"I hate this product, it is terrible.",negative
"Neither good nor bad, just normal.",neutral
Best decision I have made this year.,positive
This app crashes all the time.,negative
I am extremely happy with this purchase.,positive
The service was awful and extremely slow.,negative
The product stopped working after one day.,negative
The service was acceptable overall.,neutral
This app is brilliant and easy to use.,positive
It does the job but nothing more.,neutral
The experience was fairly ordinary.,neutral
Completely useless and frustrating to use.,negative
Best decision I have made this year.,positive
The quality is standard for this price.,neutral
Amazing quality and very fast delivery.,positive
The service was excellent and exceeded expectations.,positive
Outstanding customer support and performance.,positive
"Average experience, nothing special.",neutral
The service was excellent and exceeded expectations.,positive
It meets the basic requirements.,neutral
Amazing quality and very fast delivery.,positive
The service was acceptable overall.,neutral
Outstanding customer support and performance.,positive
I regret buying this item completely.,negative
The service was excellent and exceeded expectations.,positive
The experience was fairly ordinary.,neutral
This app crashes all the time.,negative
"I hate this product, it is terrible.",negative
I regret buying this item completely.,negative
Completely useless and frustrating to use.,negative
Wonderful experience from start to finish.,positive
"I hate this product, it is terrible.",negative
The app works fine for basic tasks.,neutral
I regret buying this item completely.,negative
Delivery was on time and packaging was fine.,neutral
The app works fine for basic tasks.,neutral
The quality is standard for this price.,neutral
I am extremely happy with this purchase.,positive
Poor quality and not worth the money.,negative
It meets the basic requirements.,neutral
"Fantastic experience, highly recommended.",positive
"I absolutely love this product, it works perfectly.",positive
I am extremely happy with this purchase.,positive
The service was excellent and exceeded expectations.,positive
The product is okay and works as expected.,neutral
The service was excellent and exceeded expectations.,positive
The experience was fairly ordinary.,neutral
Wonderful experience from start to finish.,positive
The product stopped working after one day.,negative
